Type,Pattern,Subject

Everything,Everything-*.x64.Lite-Setup.exe,"CN=voidtools, O=voidtools, L=Wilmington, S=South Australia, C=AU"
Veracrypt,VeraCrypt_Setup_x64_*.msi,"CN=IDRIX SARL, O=IDRIX SARL, STREET=5 AVENUE INGRES, L=Paris, S=Île-de-France, C=FR, OID.1.3.6.1.4.1.311.60.2.1.3=FR, SERIALNUMBER=490 000 619, OID.2.5.4.15=Private Organization"
Firefox,Firefox Setup *.exe,"CN=Mozilla Corporation, OU=Firefox Engineering Operations, O=Mozilla Corporation, L=Mountain View, S=California, C=US"
Thunderbird,Thunderbird Setup *.exe,"CN=Mozilla Corporation, OU=Firefox Engineering Operations, O=Mozilla Corporation, L=Mountain View, S=California, C=US"
VLC,vlc-*-win64.exe,"CN=VideoLAN, O=VideoLAN, L=Paris, C=FR"
Cyberduck,Cyberduck-Installer-*.exe,"CN=iterate GmbH, O=iterate GmbH, STREET=Junkerngasse 12, L=Bern, S=Bern, PostalCode=3011, C=CH"
OBS,OBS-Studio-*-Full-Installer-x64.exe,"CN=Hugh Bailey, O=Hugh Bailey, L=Temecula, S=California, C=US"
KDE Connect,kdeconnect-kde-*-windows-*.exe,"CN=K Desktop Environment e.V., O=K Desktop Environment e.V., STREET=Prinzenstr 85 F, L=Berlin, S=Berlin, PostalCode=10969, C=DE"

PowerShell,PowerShell-*-win-x64.msi,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
VSCode,VSCodeSetup-*.exe,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
OpenSSH,OpenSSH-Win64-v*.msi,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
Git,Git-*-64-bit.exe,"CN=Johannes Schindelin, O=Johannes Schindelin, S=Nordrhein-Westfalen, C=DE"
VBox,VirtualBox-*-Win.exe,"CN=Oracle Corporation, OU=VirtualBox, O=Oracle Corporation, L=Redwood City, S=California, C=US"
gsudo,gsudoSetup.msi,"CN=Gerardo Grignoli, O=Gerardo Grignoli, S=Buenos Aires, C=AR"
Tabby,tabby-*-setup-*.exe,"CN=syslink GmbH, O=syslink GmbH, L=Düsseldorf, S=Nordrhein-Westfalen, C=DE"

gVim,gvim*.exe
qBittorrent,qbittorrent_*_x64_setup
qBittorrentEnhanced,qbittorrent_enhanced_*_x64_setup.exe
7zip-zstd,7z*-zstd-*.exe
Workrave,workrave-win32-v*.exe
Chocolatey,chocolatey.*.nupkg
imdisk,ImDiskTk-x64.zip
Sysinternals,SysinternalsSuite.zip
AltSnap,AltSnap*-x64-inst.exe
Twinkle Tray,Twinkle.Tray.v*.exe
ADB,platform-tools_r*-windows.zip
